cow tongue,Meat,Meat,Beef,60,168,328,NA,NA,NA,NA,4,18,476,275,NA,46,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cow trunk,Meat,Meat,Beef,164,125,289,542.125,7,NA,NA,19,10,494,10.25,21.5,0.75,18.25,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crabs,Seafood,Meat,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3315,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA
crucian carp,Fish,Meat,,1267,NA,1000,NA,NA,NA,NA,NA,NA,4560,360,NA,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
curlew,Meat,Meat,"Bird, wild",12,NA,NA,NA,NA,NA,NA,0,NA,11,13,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
currants,Fruit,Fruits and Vegetables,preserved,434,245.75,580,663.25,30,242.5,NA,42,NA,1937,416,NA,6,12,24,60,36.5,10,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
dates,Fruit,Fruits and Vegetables,,NA,NA,NA,0,NA,27,NA,NA,NA,28,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deer,Meat,Meat,"venison, wild",31.5,17.25,37.75,NA,NA,NA,NA,0,NA,44,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
deer tongue,Meat,Meat,other,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doves,Meat,Meat,"Bird, wild",121,263,NA,385,NA,NA,NA,2,NA,NA,243,10,50,80,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
dried beef,Meat,Meat,Beef,506,482,611,643,NA,NA,NA,0,NA,142,152,NA,9,10,64,80,68,NA,NA,NA,NA,NA,8,NA,4,NA,NA,NA,NA,NA,NA,NA
dried carp,Fish,Meat,,732,135,0,300,NA,NA,NA,NA,NA,79,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dried common roach,Fish,Meat,,NA,180,1260,412,NA,NA,NA,0,NA,1920,1080,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dried eel,Fish,Meat,,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dried geese,Meat,Meat,"Bird, fowl",297,108,128,60,NA,NA,NA,0,NA,117,44,NA,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dried lamb,Meat,Meat,other,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dried lamprey,Fish,Meat,,0,0,2500,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dried maraena whitfish,Fish,Meat,,90,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dried mutton,Meat,Meat,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dried pike-perch,Fish,Meat,,492,158,288,NA,NA,NA,NA,0,NA,7150,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dried plums,Fruit,Fruits and Vegetables,,NA,NA,NA,NA,NA,100,24,0,NA,0,150,NA,6,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dried roe,Fish,Meat,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dried salmon,Fish,Meat,,61,37,8,0,NA,NA,NA,0,NA,48,64,NA,62.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dried sheep,Meat,Meat,other,8,148.25,NA,35.25,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dried white bream,Fish,Meat,,NA,NA,NA,1080,NA,NA,NA,23,NA,NA,NA,NA,401,NA,NA,720,900,NA,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ducks,Meat,Meat,bird,742,304,982,490,NA,NA,NA,0,NA,4617,759,NA,41,78,4,NA,NA,NA,NA,NA,NA,NA,10,NA,56,NA,NA,NA,NA,NA,12,NA
eggs,Eggs,Meat,,104832,74731,117328,115500,2085,NA,NA,1874,2407,130298,30807,NA,1500,5158,2257,4293,400,NA,330,NA,NA,NA,1452,NA,7803,600,NA,NA,NA,NA,180,NA
European white fish,Fish,Meat,,144,NA,268,288,NA,NA,NA,0,NA,96,NA,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,NA,NA
fattened pig,Meat,Meat,Pork,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fieldfare,Meat,Meat,"Bird, wild",729,3,197,3180,NA,NA,NA,0,NA,1423,762,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,40,NA,NA,NA,NA,NA,NA,NA
figs,Fruit,Fruits and Vegetables,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,46,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
finch,Meat,Meat,"Bird, wild",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fine salt,Salt,Flavoring/Other,,3744,2112,3648,3835,NA,NA,NA,48,NA,5644,782,NA,24,84,48,72,72,NA,NA,NA,NA,NA,432,NA,NA,NA,NA,NA,NA,NA,24,NA
fish guts,Fish,Flavoring/Other,,NA,NA,6,NA,NA,8,NA,NA,NA,4,20,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
flounder,Fish,Meat,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
geese,Meat,Meat,"bird, fowl",1165,580,882,2876,NA,NA,NA,23,42,1730,654,83,12,41,6,NA,7,NA,NA,NA,NA,NA,128,NA,159,NA,NA,NA,NA,NA,4,NA
ginger,Spice,Flavoring/Other,,204.72,115.75,221.75,335.2,4.25,79.75,33.5,5.75,NA,337.625,112.25,NA,1,4.375,3.5,6,4.5,6,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gouda Cheese,Dairy,Dairy,,13,2,52,99,NA,NA,NA,0,NA,125,43,NA,14,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
gray partridge,Meat,Meat,"bird, fowl, wild",52,58,123,516,NA,NA,NA,0,NA,3639,62,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,NA
gudgeon,Fish,Meat,,523,1196,694,2076,NA,NA,NA,0,NA,13973,107,NA,64,NA,NA,NA,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
haddock,Fish,Meat,,20,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
half dried white bream,Fish,Meat,,162,538,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
half-smoked salmon,Fish,Meat,,293.5,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ham,Meat,Meat,pork,NA,NA,NA,NA,NA,NA,NA,0,NA,145,82,NA,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hazel grouse,Meat,Meat,"bird, fowl, wild",595,177,485,1057,NA,NA,NA,0,NA,1696,487,4,NA,9,2,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
hen,Meat,Meat,"bird, fowl",5596,3253,6603,5619,NA,NA,NA,89,122,14760,4210,231,62,342,66,NA,28,NA,NA,NA,NA,NA,343,NA,1326,58,NA,NA,NA,NA,58,NA
honey,Honey,Flavoring/Other,,NA,24,24,6,48,36,NA,NA,NA,NA,NA,NA,NA,NA,4,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jellied eel,Fish,Meat,,24,240,48,312,NA,NA,NA,48,NA,96,226,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lamb,Meat,Meat,Other,463.5,140,485.75,366.5,NA,NA,NA,8,1,"1,506.75",85.25,3.5,4,25,6.5,3,12,NA,NA,NA,NA,NA,6,NA,1,3,NA,NA,NA,NA,NA,NA
lamprey,Fish,Meat,,1220,NA,420,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lard,Cooking oil,Flavoring/Other,,NA,9.5,29.5,2,NA,NA,NA,NA,NA,11,11,NA,NA,4,NA,NA,9,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA
lark,Meat,Meat,"Bird, wild",2679,1232,3229,60,NA,NA,NA,0,NA,NA,NA,NA,24,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lemons,Fruit,Fruits and Vegetables,Citrus,2757,1702,4112,4778,24,7862,700,87,NA,NA,1697,NA,40,60,NA,175,140,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
mace,Spice,Flavoring/Other,,26.2,22.9,42.14,41.3,0.25,76,9,0.9,NA,71.84,37.5,NA,4.09,1.3125,1,1.625,1.125,2,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
