translation,category,macrocategory,subcategory,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
dried white bream,Fish,Meat,,,,191.379310344828,61.2612612612613,,,,,,,,,,,,,,,,,,131.666666666667,,,,,,,5.12820512820513,,,,,,,,,,,,,,,,,
ducks,Meat,Meat,bird,,,17.7083333333333,58.8235294117647,,,,,,,,,,,,,,,,,0.664727877025343,268.75,,,,,,,43.7572702597906,190.208241027913,9.31749359422315,,,,,,,,,7.68935024990388,,,,,,
eggs,Eggs,Meat,,,,,70.5882352941177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European white fish,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fattened pig,Meat,Meat,Pork,,,62.5,114.285714285714,,,,,,,,,,,,,,,,,,363.636363636364,,,,,,,,,,,,,,,,,,,,,,,,
fieldfare,Meat,Meat,"Bird, wild",,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,,,,,,,,,,,,,,
finch,Meat,Meat,"Bird, wild",,,164.285714285714,71.0144927536232,,,,,,,,,,,,,,,,,,114.084507042254,,,,,,,57.1428571428571,150,100,,,,,,,,,,,,,,,
flounder,Fish,Meat,,,,124.137931034483,32.4074074074074,,,,,,,,,,,,,,,,,64.2857142857143,274.074074074074,112.162162162162,,,,,,14.6341463414634,,,,,,,,,,,,,,,,,
geese,Meat,Meat,"bird, fowl",,,420,97.6190476190476,,,,,,,,,,,152.272727272727,,,,,,,20.4081632653061,,,,,,,80,171.428571428571,75,133.333333333333,,,,,,,,,,,,,,
gray partridge,Meat,Meat,"bird, fowl, wild",,,808.333333333333,27.8350515463918,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
gudgeon,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haddock,Fish,Meat,,,,101.26582278481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half dried white bream,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half-smoked salmon,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,360.869565217391,,,,,,,,,,,,,,,,,,,,,,,,
ham,Meat,Meat,pork,,,238.235294117647,6.17283950617284,,,,,,,,,,,,,,,,,,253.846153846154,6.06060606060606,,,,,,22.2222222222222,,,,,,,,,,,,,,,,,
hazel grouse,Meat,Meat,"bird, fowl, wild",,,155.737704918033,80,,,,,,,,,,,,,,,,,19.672131147541,245.833333333333,391.525423728814,,,,,,19.2982456140351,,,,,,,,,,,4.37405731523379,,,,,,
hen,Meat,Meat,"bird, fowl",,,93.6170212765958,175,,,,,,,,,,,,,,,,,,,,,,,,,,250,40,,,,,,,,,,,,,,,
