"","1642","1643","1644","1645","1646","1647","1648","1649","1650","1651","1652","1653","1654","1655","1656","1657","1658","1659","1660","1661","1662","1663","1664","1665","1666","1667","1668","1669","1670","1671","1672","1673","1674","1675","1676","1677","1678","1679","1680","1681","1682","1683","1684","1685","1686","1687","1688"
"sandpipers",,,,306.25,65.3061224489796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sardines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sheep",,,,125,280,,,,,,,,,,,,,,,,,150,866.666666666667,,,,,,,,,,,,,,,,,,,,,,,,
"small birds",,,,74.025974025974,89.4736842105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Small sheep cheese",,,,207.317073170732,88.2352941176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"small, edible fish",,,,100,102.941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"smoked fish",,,,110.769230769231,1.38888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"snails",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sparrows & skylarks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"spiced gudgeon",,,,,1.06382978723404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"spicy sauerkraut",,,,64.2857142857143,68.8888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"starling",,,,70.2127659574468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sturgeon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"suckling pig",,,,60,62.962962962963,,,,,,,,,,,,,,,,,2050,9.75609756097561,,,,,,,75,,,,,,,,,,,,,,,,,
"sugar",,,,1300,56.9230769230769,,,,,,,,,,,3335.15625,,,,,,,38.6666666666667,,,,,,,82.5806451612903,228.125,63.013698630137,43.4782608695652,,,,,,,,,,,,,,
"swans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tench",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"thrush",,,,600,45.4545454545455,,,,,,,,,,,,,,,,,,110.344827586207,,,,,,,,,,,,,,,,,,,,,,,,
"turbot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"turkey",,,,166.666666666667,153.333333333333,,,,,,,,,,,,,,,,,2900,47.1264367816092,17.0731707317073,,,,,,23.8095238095238,,,,,,,,,,,,,,,,,
"various small fish ",,,,152.941176470588,165.384615384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"veal",,,,123.076923076923,93.75,,,,,,,,,,,,,,,,,27.7777777777778,360,,,,,,,62.5,120,96.6666666666667,,,,,,,,,,,,,,,
"vimba bream",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"water mannagrass",,,,150.684931506849,64.5454545454545,,,,,,,,,,,,,,,,,,123.188405797101,,,,,,,,,,,,,,,,,,,,,,,,
"waxwing",,,,,23.3333333333333,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,
"Wels catfish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"westphalian ham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wheat flour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wild boar",,,,98.3050847457627,162.068965517241,,,,,,,,,,,,,,,,,,79.2452830188679,,,,,,,,,,,,,,,,,,,,,,,,
"wild geese",,,,561.538461538462,43.8356164383562,,,,,,,,,,,,,,,,,,40.9836065573771,,,,,,,,,,,,,,,,,,,,,,,,
"wine vinegar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.090909090909,,,,,,,,,,,,,,,,
"yellow hammer",,,,,111.538461538462,,,,,,,,,,,,,,,,,,43.3734939759036,,,,,,,,,,,,,,,,,,,,,,,,
"young boar",,,,80,271.875,,,,,,,,,,,,,,,,,,177.41935483871,,,,,,,,,,,,,,,,,,,,,,,,
